,,,,,,,,,,,,,,,,,
CATÁLOGO NUMÉRICO DEL ANEXO 2 DE LA  RESOLUCIÓN QUE ESTABLECE EL MECANISMO PARA GARANTIZAR EL PAGO DE CONTRIBUCIONES EN MERCANCÍAS SUJETAS A  PRECIOS ESTIMADOS POR LA  SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO  CATÁLOGO.,,,,,,,,,,,,,,,,,
,,,,,, PRECIO  ESTIMADO  EN DÓLARES DE E.U.A POR UNIDAD  COMERCIAL  Y  POR ANTIGÜEDAD  DEL AÑO MODELO,,,,,,,,,,,
CATALOGO NUMÉRICO,FRACCION ARANCELARIA,NICO,MARCA,DESCRIPCION DE NICO,UNIDAD COMERCIAL,2009,2010,10 AÑOS O  MÁS,9 AÑOS,8 AÑOS,7 AÑOS, 6 AÑOS,5 AÑOS,4 AÑOS,3 AÑOS,2 AÑOS,HASTA 1 AÑO
41,8701.20.02,,MACK,GRANITE CV500/700 SERIES 108” BBC STEEL CAB,Pza,,,,,"31,575","32,675","36,250","40,650",,,,
42,8701.20.02,,MACK,"GRANITE/TITAN SERIES 116.5""-128"" BBC STEEL CAB",Pza,,,,,,,,,"104,092","113,725","130,200","145,656"
43,8701.20.02,,MACK,DM/DMM SERIES 101”-109” BBC STEEL CAB,Pza,,,"29,988","38,325","43,325","48,963","56,888","61,738",,,,
44,8701.20.02,,MACK,LE/MR   SERIES    63”    BBC STEEL CAB LE603,Pza,,,,"43,238","47,350","62,013","70,400","78,250",,,,
45,8701.20.02,,MACK,"PINNACLE     SERIES     117"" BBC STEEL CAB",Pza,,,,,,,,,"67,963","74,075","78,825","81,500"
46,8701.20.02,,MACK,"RB/RD  SERIES   117”-129”
BBC STEEL CAB",Pza,,,"22,340","27,265","31,950","33,700","37,550",,,,,
,8701.20.02,,PETERBILT,PETERBILT,,,,,,,,,,,,,
47,8701.20.02,,PETERBILT,320  58” BBC ALUMINUM CAB,Pza,,,,"40,325","44,325","58,500","67,800","74,475",,,,
48,8701.20.02,,PETERBILT,357  119” BBC  ALUMINUM CAB,Pza,,,"30,575","38,650","42,500","47,325","53,050","57,475",,,,
49,8701.20.02,,PETERBILT,362 76”/90” BBC ALUMINUM TILT CAB,Pza,,,,,"10,438",,,,,,,
